0;0;0;0;land;false;unknown;0
1;205;22;1;land;false;mountain;7
2;229;28;1;land;false;mountain;7
3;172;36;1;land;false;plains;7
4;167;6;1;land;false;plains;7
5;190;45;1;land;false;plains;7
6;172;22;1;land;false;hills;7
7;202;39;1;land;true;hills;7
8;196;53;1;land;true;mountain;7
9;179;38;1;land;false;plains;7
10;223;45;1;land;false;plains;7
11;217;58;1;land;false;plains;7
12;166;51;1;land;false;plains;7
13;231;57;1;land;false;plains;7
14;216;56;1;land;false;mountain;7
15;181;14;1;land;false;plains;7
16;239;30;1;land;false;hills;7
17;184;8;1;land;true;plains;7
18;183;18;1;land;false;plains;7
19;220;36;1;land;false;hills;7
20;211;56;1;land;false;plains;7
21;177;56;1;land;false;hills;7
22;210;54;1;land;false;plains;7
23;188;36;1;land;false;plains;7
24;233;21;1;land;false;mountain;7
25;180;15;1;land;false;plains;7
26;240;36;1;land;false;plains;7
27;172;1;1;land;false;hills;7
28;223;25;1;land;true;hills;7
29;173;11;1;land;false;plains;7
30;188;48;1;land;false;mountain;7
31;204;11;1;land;false;plains;7
32;211;30;1;land;false;plains;7
33;200;40;1;land;false;mountain;7
34;227;1;1;land;false;plains;7
35;167;9;1;land;true;plains;7
36;204;54;1;land;false;mountain;7
37;188;23;1;land;false;plains;7
38;227;30;1;land;true;hills;7
39;237;1;1;land;true;plains;7
40;220;3;1;land;false;mountain;7
41;214;29;1;land;false;hills;7
42;179;42;1;land;false;mountain;7
43;170;41;1;land;false;plains;7
44;187;23;1;land;false;hills;7
45;207;1;1;land;false;hills;7
46;207;16;1;land;false;plains;7
47;60;92;1;land;false;plains;7
48;85;55;1;land;false;plains;7
49;38;61;1;land;false;plains;7
50;80;23;1;land;false;hills;7
51;77;18;1;land;false;hills;7
52;19;84;1;land;false;plains;7
53;72;27;1;land;false;plains;7
54;61;48;1;land;false;plains;7
55;74;88;1;land;false;plains;7
56;225;60;1;land;false;urban;7
57;201;16;1;land;true;forest;7
58;229;21;1;land;false;forest;7
59;216;13;1;land;false;urban;7
60;191;12;1;land;true;forest;7
61;54;102;1;land;true;plains;7
62;50;130;1;land;true;hills;7
63;4;106;1;land;false;plains;7
64;57;149;1;land;true;plains;7
65;20;99;1;land;true;hills;7
66;33;131;1;land;true;plains;7
67;54;131;1;land;false;plains;7
68;43;161;1;land;true;hills;7
69;67;154;1;land;true;plains;7
70;56;155;1;land;true;plains;7
71;69;129;1;land;true;hills;7
72;26;135;1;land;true;hills;7
73;3;169;1;land;true;hills;7
74;5;167;1;land;false;plains;7
75;24;160;1;land;false;plains;7
76;63;113;1;land;false;plains;7
77;66;129;1;land;false;plains;7
78;65;95;1;land;false;plains;7
79;47;118;1;land;false;plains;7
80;29;118;1;land;false;plains;7
81;26;155;1;land;false;plains;7
82;60;108;1;land;false;hills;7
83;4;94;1;land;false;plains;7
84;65;132;1;land;false;plains;7
85;50;108;1;land;false;plains;7
86;34;154;1;land;false;plains;7
87;17;146;1;land;false;plains;7
88;36;157;1;land;false;plains;7
89;58;117;1;land;false;hills;7
90;58;92;1;land;false;plains;7
91;23;104;1;land;false;plains;7
92;11;112;1;land;false;plains;7
93;58;111;1;land;false;plains;7
