60;industrial_complex;3267.76;16.55;993.96;5.53;0
60;air_base;3267.08;16.67;994.68;5.63;0
60;anti_air_building;3266.14;16.37;994.99;5.23;0
60;synthetic_refinery;3265.17;16.61;994.82;6.28;0
60;fuel_silo;3264.40;16.61;994.20;1.08;0
60;radar_station;3264.02;16.43;993.28;3.30;0
60;rocket_site;3264.13;16.43;992.30;1.06;0
60;nuclear_reactor;3264.69;16.37;991.49;1.16;0
60;bunker;3265.58;16.49;991.04;3.72;0
97;arms_factory;3126.00;15.88;1012.00;3.97;0
97;industrial_complex;3125.76;15.88;1012.96;0.71;0
97;air_base;3125.08;15.82;1013.68;5.85;0
97;anti_air_building;3124.14;15.88;1013.99;0.94;0
97;synthetic_refinery;3123.17;16.00;1013.82;5.14;0
97;fuel_silo;3122.40;16.06;1013.20;4.40;0
97;radar_station;3122.02;16.00;1012.28;0.13;0
97;rocket_site;3122.13;16.13;1011.30;3.54;0
97;nuclear_reactor;3122.69;16.06;1010.49;4.97;0
97;bunker;3123.58;16.00;1010.04;0.67;0
97;supply_node;3124.57;15.88;1010.08;3.06;0
161;arms_factory;3517.00;19.04;1025.00;1.93;0
161;industrial_complex;3516.76;18.92;1025.96;6.11;0
161;air_base;3516.08;18.68;1026.68;2.63;0
161;anti_air_building;3515.14;18.62;1026.99;3.88;0
161;synthetic_refinery;3514.17;18.50;1026.82;1.53;0
161;fuel_silo;3513.40;18.50;1026.20;1.25;0
161;radar_station;3513.02;18.37;1025.28;5.53;0
161;rocket_site;3513.13;18.37;1024.30;1.70;0
161;nuclear_reactor;3513.69;18.56;1023.49;4.22;0
161;bunker;3514.58;18.68;1023.04;0.49;0
161;supply_node;3515.57;19.47;1023.08;5.26;0
166;arms_factory;3475.00;16.43;1052.00;6.15;0
166;industrial_complex;3474.76;16.25;1052.96;2.20;0
166;air_base;3474.08;16.49;1053.68;2.62;0
166;anti_air_building;3473.14;16.73;1053.99;1.35;0
166;synthetic_refinery;3472.17;16.73;1053.82;4.23;0
166;fuel_silo;3471.40;16.67;1053.20;4.49;0
166;radar_station;3471.02;16.55;1052.28;3.01;0
166;rocket_site;3471.13;16.55;1051.30;0.80;0
166;nuclear_reactor;3471.69;16.61;1050.49;1.35;0
166;bunker;3472.58;16.67;1050.04;1.70;0
166;supply_node;3473.57;16.67;1050.08;5.44;0
216;arms_factory;3434.00;15.76;1011.00;0.74;0
216;industrial_complex;3433.76;15.88;1011.96;1.96;0
216;air_base;3433.08;15.88;1012.68;0.66;0
216;anti_air_building;3432.14;16.06;1012.99;5.54;0
216;synthetic_refinery;3431.17;15.94;1012.82;0.60;0
216;fuel_silo;3430.40;15.82;1012.20;4.42;0
216;radar_station;3430.02;15.94;1011.28;1.50;0
216;rocket_site;3430.13;15.82;1010.30;0.90;0
216;nuclear_reactor;3430.69;15.94;1009.49;3.28;0
216;bunker;3431.58;15.94;1009.04;1.73;0
216;supply_node;3432.57;15.76;1009.08;0.62;0
236;arms_factory;2870.00;17.46;1022.00;3.36;0
236;industrial_complex;2869.76;17.65;1022.96;5.10;0
236;air_base;2869.08;17.22;1023.68;1.89;0
236;anti_air_building;2868.14;17.10;1023.99;0.57;0
236;synthetic_refinery;2867.17;17.16;1023.82;4.27;0
236;fuel_silo;2866.40;17.28;1023.20;0.11;0
236;radar_station;2866.02;17.40;1022.28;2.51;0
236;rocket_site;2866.13;17.65;1021.30;5.17;0
236;nuclear_reactor;2866.69;17.65;1020.49;1.97;0
236;bunker;2867.58;17.34;1020.04;2.63;0
236;supply_node;2868.57;17.52;1020.08;2.92;0
326;arms_factory;3168.00;15.76;1009.00;5.96;0
326;industrial_complex;3167.76;15.70;1009.96;5.52;0
326;air_base;3167.08;15.70;1010.68;1.16;0
326;anti_air_building;3166.14;15.70;1010.99;3.61;0
326;synthetic_refinery;3165.17;15.64;1010.82;4.85;0
326;fuel_silo;3164.40;15.64;1010.20;1.42;0
326;radar_station;3164.02;15.70;1009.28;4.82;0
326;rocket_site;3164.13;15.70;1008.30;3.96;0
326;nuclear_reactor;3164.69;15.70;1007.49;4.25;0
326;bunker;3165.58;15.76;1007.04;5.62;0
326;supply_node;3166.57;15.70;1007.08;3.72;0
346;arms_factory;3240.00;17.34;1016.00;2.71;0
346;industrial_complex;3239.76;17.04;1016.96;4.73;0
346;air_base;3239.08;17.28;1017.68;2.90;0
346;anti_air_building;3238.14;17.16;1017.99;0.55;0
346;synthetic_refinery;3237.17;16.92;1017.82;4.35;0
346;fuel_silo;3236.40;16.73;1017.20;2.16;0
