1;2075;9.900000;685;small
2;4535;9.900000;83;small
3;4868;9.900000;118;small
4;3618;9.900000;240;small
5;4647;9.900000;230;small
6;3947;9.900000;111;small
7;5112;9.900000;267;small
8;4427;9.900000;305;small
9;5015;9.900000;202;small
10;4566;9.900000;270;small
11;3256;9.900000;249;small
12;3541;9.900000;262;small
13;4841;9.900000;263;small
14;4113;9.900000;180;small
15;4722;9.900000;306;small
16;3782;9.900000;236;small
17;5187;9.900000;279;small
18;4960;9.900000;330;small
19;3531;9.900000;331;small
20;2754;9.900000;312;small
21;3978;9.900000;362;small
22;3163;9.900000;407;small
23;4866;9.900000;413;small
24;2594;9.900000;371;small
25;3442;9.900000;360;small
26;3498;9.900000;396;small
27;2713;9.900000;476;small
28;3693;9.900000;410;small
29;4375;9.900000;331;small
30;4689;9.900000;349;small
31;4195;9.900000;391;small
32;3830;9.900000;537;small
33;5449;9.900000;483;small
34;2631;9.900000;470;small
35;2950;9.900000;496;small
36;3418;9.900000;499;small
37;3712;9.900000;572;small
38;4944;9.900000;523;small
39;5378;9.900000;481;small
40;3844;9.900000;502;small
41;4731;9.900000;599;small
42;5457;9.900000;545;small
43;1744;9.900000;490;small
44;3095;9.900000;408;small
45;5241;9.900000;423;small
46;5022;9.900000;520;small
47;2746;9.900000;558;small
48;4153;9.900000;566;small
49;5195;9.900000;620;small
50;2918;9.900000;614;small
51;2202;9.900000;601;small
52;3265;9.900000;589;small
53;5009;9.900000;634;small
54;3620;9.900000;639;small
55;2492;9.900000;540;small
56;3280;9.900000;553;small
57;4401;9.900000;643;small
58;3802;9.900000;776;small
59;3863;9.900000;718;small
60;2991;9.900000;656;small
61;2741;9.900000;722;small
62;3238;9.900000;802;small
63;4312;9.900000;767;small
64;4598;9.900000;646;small
65;3336;9.900000;739;small
66;2926;9.900000;648;small
67;5187;9.900000;707;small
68;1992;9.900000;745;small
69;3540;9.900000;829;small
70;2386;9.900000;637;small
71;1809;9.900000;783;small
72;2477;9.900000;877;small
73;2405;9.900000;759;small
74;2159;9.900000;841;small
75;4051;9.900000;824;small
76;1585;9.900000;799;small
77;1922;9.900000;924;small
78;4557;9.900000;882;small
79;1830;9.900000;1036;small
80;3078;9.900000;772;small
81;2441;9.900000;968;small
82;2233;9.900000;858;small
83;2957;9.900000;934;small
84;3311;9.900000;991;small
85;2918;9.900000;1002;small
86;3421;9.900000;869;small
87;1945;9.900000;1080;small
88;2299;9.900000;1026;small
89;2662;9.900000;1084;small
90;2755;9.900000;1185;small
91;2811;9.900000;1237;small
92;1089;9.900000;1175;small
93;3221;9.900000;1241;small
94;2076;9.900000;1206;small
95;2313;9.900000;1273;small
96;3290;9.900000;1432;small
97;3434;9.900000;1423;small
98;1235;9.900000;1306;small
